brand,model_name,model_id,model_year,bodytype
Lexus,GS 250,48_2,2013,Saloon
Suzuki,Splash,87_9,2013,Hatchback
Renault,Clio,75_2,2015,Hatchback
Porsche,Boxster,71_6,2014,Convertible
Volvo,V70,96_12,2000,Estate
Fiat,500,28_2,2013,Hatchback
BMW,X1,8_35,2014,SUV
Nissan,Micra,64_17,2010,Hatchback
Audi,A6 Saloon,7_11,2012,Estate
Daewoo,Kalos,23_1,2003,Hatchback
Honda,Accord,34_1,2009,Saloon
Toyota,Hilux,92_19,2008,nan
Mercedes-Benz,C Class,59_12,2007,Estate
Toyota,iQ,92_20,2013,Hatchback
BMW,i3,8_27,2016,Hatchback
Mercedes-Benz,M Class,59_27,2010,SUV
BMW,1 Series,8_1,2018,Hatchback
BMW,X5,8_39,2017,SUV
Suzuki,Liana,87_8,2007,Hatchback
Hyundai,i10,36_8,2015,Hatchback
Infiniti,G,37_3,2014,Convertible
Hyundai,i20,36_9,2000,Hatchback
Alfa Romeo,Giulietta,4_11,2014,Hatchback
Volkswagen,Beetle,95_3,2000,Convertible
Audi,Q5,7_20,2008,SUV
Porsche,718 Boxster,71_2,2017,Convertible
Citroen,C4,18_12,2008,Hatchback
Subaru,Forester,86_2,2015,SUV
Porsche,Cayman,71_9,2012,Coupe
Mercedes-Benz,C Class,59_12,2008,Estate
Mitsubishi,Outlander,62_16,2009,SUV
Audi,RS Q3,7_24,2016,SUV
Toyota,Corolla Verso,92_12,2008,MPV
Mercedes-Benz,SLK,59_32,2008,Convertible
Audi,SQ5,7_44,2015,SUV
Vauxhall,Astra,94_5,2012,Hatchback
Vauxhall,ADAM,94_1,2015,Hatchback
BMW,i8,8_28,2016,Coupe
Porsche,Cayman,71_9,2016,Coupe
Kia,Picanto,43_7,2014,Hatchback
Citroen,C4,18_12,2012,Hatchback
Audi,A4 Cabriolet,7_8,2007,Convertible
Hyundai,Getz,36_6,2008,Hatchback
BMW,M6 Gran Coupe,8_34,2014,Coupe
Volvo,V90,96_14,2017,Estate
Kia,Soul,43_12,2014,Hatchback
Mercedes-Benz,CL,59_15,2007,Coupe
Toyota,Yaris,92_44,2003,Hatchback
Audi,A3 Cabriolet,7_4,2008,Convertible
BMW,6 Series Gran Coupe,8_12,2012,Coupe
Alfa Romeo,Giulia,4_10,2017,Saloon
SKODA,Rapid Spaceback,80_7,2014,Hatchback
Fiat,500C,28_3,2015,Convertible
Ford,Tourneo Custom,29_35,2015,Minibus
Hyundai,i20,36_9,2014,Hatchback
Nissan,Leaf,64_16,2016,Hatchback
Hyundai,Tucson,36_24,2015,SUV
Kia,Cee'd,43_2,2013,Estate
Renault,Laguna,75_11,2006,Hatchback
Dacia,Sandero Stepway,22_4,2016,Hatchback
Toyota,iQ,92_20,2009,Hatchback
Kia,Venga,43_16,2014,MPV
DS,3 Cabrio,21_2,2015,Convertible
Hyundai,Matrix,36_18,2008,Hatchback
Peugeot,Bipper Tepee,69_30,2010,MPV
Nissan,Juke,64_14,2012,SUV
Lexus,GS F,48_2,2017,Saloon
Fiat,Punto Evo,28_20,2012,Hatchback
SKODA,Roomster,80_8,2008,MPV
Vauxhall,Mokka,94_15,2013,Hatchback
Volvo,V40,96_7,2012,Hatchback
Ford,Ranger,29_30,2008,Pickup
Bentley,Continental,10_5,2003,Convertible
Subaru,XV,86_11,2016,SUV
Citroen,Dispatch,18_18,2015,Combi Van
Lamborghini,Gallardo,45_3,2011,Coupe
Citroen,C4 Picasso,18_14,2010,MPV
Bentley,Mulsanne,10_7,2014,Saloon
Toyota,Auris,92_3,2008,Hatchback
Peugeot,607,69_28,2003,Saloon
Citroen,Grand C4 Picasso,18_24,2007,MPV
Audi,TTS,7_48,2010,Coupe
Lexus,RX 450h,48_24,2013,SUV
Kia,Rio,43_9,2010,Hatchback
SKODA,Kodiaq,80_4,2017,SUV
Mercedes-Benz,220,59_2,2012,Saloon
Renault,Grand Espace,75_5,2003,MPV
Toyota,Previa,92_29,2000,MPV
BMW,5 Series,8_9,2018,Saloon
Porsche,Cayman,71_9,2013,Coupe
Vauxhall,Agila,94_2,2010,Hatchback
Renault,Zoe,75_22,2014,Hatchback
Lexus,IS 250,48_8,2011,Saloon
Smart,fortwo,84_2,2000,Hatchback
MINI,Countryman,54_4,2010,Hatchback
Saab,9-3,81_1,2000,Convertible
Lexus,GS 300,48_2,2000,Saloon
Volkswagen,CC,95_12,2016,Saloon
Audi,S4 Cabriolet,7_38,2006,Convertible
Volvo,XC70,96_17,2008,Estate
Vauxhall,Zafira,94_27,2000,MPV
BMW,i8,8_28,2014,Coupe
Ford,Fusion,29_18,2011,Hatchback
Ford,B-Max,29_1,2013,MPV
Ssangyong,Korando Sports,85_2,2017,Pickup
Infiniti,FX,37_2,2010,SUV
Peugeot,207 CC,69_10,2011,Convertible
Hyundai,ix20,36_15,2014,Hatchback
Corvette,C6,19_1,2009,nan
Vauxhall,Insignia,94_13,2009,Hatchback
Volvo,XC70,96_17,2010,Estate
Nissan,Juke,64_14,2016,SUV
Isuzu,Rodeo,38_3,2006,Pickup
Lamborghini,Aventador,45_1,2012,Convertible
Kia,Sportage,43_13,2006,SUV
Hyundai,Tucson,36_24,2006,SUV
BMW,1 Series,8_1,2017,Hatchback
Mitsubishi,Outlander,62_16,2016,SUV
Volvo,V70,96_12,2008,Estate
Renault,Megane,75_12,2008,Hatchback
Volkswagen,Lupo,95_19,2000,Hatchback
Mercedes-Benz,SL Class,59_30,2000,Convertible
Land Rover,Freelander 2,47_12,2012,SUV
BMW,M4,8_31,2017,Coupe
Porsche,718 Boxster,71_2,2016,Convertible
BMW,5 Series,8_9,2003,Saloon
SKODA,Roomster,80_8,2011,MPV
Citroen,Grand C4 Picasso,18_24,2015,MPV
Ford,Mustang,29_28,2007,Coupe
Mazda,Mazda2,57_10,2006,Hatchback
Mitsubishi,ASX,62_1,2010,SUV
Citroen,C1,18_6,2006,Hatchback
Chevrolet,Matiz,16_12,2009,Hatchback
BMW,M3,8_30,2012,Coupe
Renault,Laguna,75_11,2003,Hatchback
Audi,A6 Allroad,7_11,2008,Estate
McLaren,P1,58_8,2015,Coupe
Mazda,Mazda2,57_10,2008,Hatchback
Honda,Civic,34_2,2014,Hatchback
Dacia,Logan MCV,22_2,2016,Estate
Volvo,S60,96_4,2012,Saloon
Renault,Twingo,75_18,2012,Hatchback
Toyota,Auris,92_3,2012,Hatchback
BMW,X3,8_37,2011,SUV
Chrysler,Grand Voyager,17_4,2014,MPV
BMW,X4,8_38,2016,SUV
BMW,Alpina D3 Bi-Turbo,8_21,2010,Saloon
Kia,Cee'd,43_2,2017,Estate
Subaru,Impreza,86_3,2010,Hatchback
Kia,Picanto,43_7,2013,Hatchback
Audi,A4 Avant,7_7,2006,Estate
Mitsubishi,Colt,62_3,2010,Hatchback
Maserati,GranCabrio,55_6,2011,Convertible
Fiat,Punto,28_19,2000,Hatchback
Infiniti,FX,37_2,2012,SUV
Hyundai,i10,36_8,2008,Hatchback
Fiat,Grande Punto,28_15,2006,Hatchback
Mazda,Mazda2,57_10,2010,Hatchback
Jeep,Compass,40_3,2007,SUV
Kia,Sportage,43_13,2013,SUV
Lotus,Elise S,51_4,2012,Convertible
Abarth,595C,2_5,2017,Convertible
Audi,A3 Cabriolet,7_4,2009,Convertible
Citroen,C5,18_15,2013,Saloon
Peugeot,307 CC,69_16,2007,Convertible
Mitsubishi,Lancer,62_14,2011,Saloon
Citroen,Dispatch,18_18,2014,Combi Van
Jaguar,XF,39_7,2008,Saloon
Ford,Kuga,29_25,2014,SUV
Ford,Ka,29_23,2006,Hatchback
Renault,Grand Modus,75_6,2011,Hatchback
Volkswagen,Polo,95_22,2006,Hatchback
Maserati,Ghibli,55_5,2017,Saloon
Lamborghini,Gallardo,45_3,2013,Coupe
Porsche,Boxster,71_6,2000,Convertible
SEAT,Ibiza,79_9,2006,Hatchback
Audi,A7,7_15,2012,Hatchback
Jaguar,XKR,39_11,2011,Coupe
Audi,Q7,7_21,2015,SUV
Ssangyong,Musso,85_4,2017,Pickup
Volkswagen,Transporter,95_30,2008,Combi Van
Volkswagen,Fox,95_14,2009,Hatchback
Volvo,S80,96_5,2009,Saloon
Nissan,Cube,64_5,2010,Hatchback
Nissan,GT-R,64_13,2013,Coupe
Audi,RS4 Saloon,7_29,2006,Saloon
Renault,Modus,75_13,2008,Hatchback
BMW,X3,8_37,2012,SUV
Hyundai,i800,36_13,2009,MPV
Peugeot,Expert,69_31,2014,Panel Van
Volvo,S40,96_3,2011,Saloon
Fiat,Punto Evo,28_20,2011,Hatchback
Ford,Fiesta,29_13,2008,Hatchback
Fiat,124 Spider,28_1,2017,Convertible
Nissan,Qashqai,64_33,2014,SUV
Audi,A1,7_1,2011,Hatchback
Vauxhall,Antara,94_4,2012,Estate
Peugeot,Expert Tepee,69_32,2010,MPV
Mazda,Mazda6,57_13,2007,Saloon
Honda,Civic,34_2,2012,Hatchback
Dacia,Duster,22_1,2016,SUV
Ford,S-Max,29_31,2014,MPV
BMW,i3,8_27,2017,Hatchback
Dodge,Caliber,26_2,2008,Hatchback
Dacia,Logan MCV,22_2,2017,Estate
SEAT,Alhambra,79_1,2014,MPV
Lexus,GS 300,48_2,2007,Saloon
Nissan,Navara,64_20,2009,Pickup
Subaru,Outback,86_7,2016,Estate
Volkswagen,Scirocco,95_23,2009,Coupe
Chevrolet,Cruze,16_7,2011,Hatchback
Audi,A7,7_15,2010,Hatchback
Ford,Galaxy,29_19,2008,MPV
Nissan,Micra,64_17,2015,Hatchback
Chevrolet,Blazer,16_3,2000,SUV
Vauxhall,Corsa,94_9,2013,Hatchback
Lexus,RX 350,48_24,2007,SUV
Saab,9-3,81_1,2011,Convertible
BMW,X3,8_37,2006,SUV
Land Rover,Freelander 2,47_12,2009,SUV
Kia,Carens,43_1,2009,MPV
Kia,Sorento,43_11,2013,SUV
Audi,A4 Avant,7_7,2014,Estate
Chrysler,Sebring,17_8,2009,Convertible
Mazda,BT-50,57_5,2009,Pickup
Subaru,WRX STI,86_10,2017,Saloon
Vauxhall,Mokka,94_15,2012,Hatchback
Nissan,e-NV200,64_7,2017,Combi Van
Jaguar,XK,39_9,2006,Coupe
Ford,Grand C-Max,29_20,2013,MPV
MINI,Hatch,54_6,2008,Hatchback
Audi,S5,7_39,2012,Coupe
Rolls-Royce,Phantom,77_4,2012,Limousine
Toyota,Alphard,92_2,2007,MPV
Subaru,Outback,86_7,2014,Estate
Volkswagen,Touran,95_29,2013,MPV
Kia,Sportage,43_13,2010,SUV
Volvo,XC90,96_18,2010,SUV
Volkswagen,Amarok,95_1,2017,Hatchback
Ford,Galaxy,29_19,2007,MPV
Peugeot,207 SW,69_11,2008,Estate
Land Rover,Defender 90,47_4,2015,SUV
Nissan,Juke,64_14,2013,SUV
Ford,Fusion,29_18,2012,Hatchback
Citroen,C5,18_15,2010,Saloon
BMW,M2,8_29,2016,Coupe
Lamborghini,Huracan,45_4,2017,Convertible
Suzuki,Alto,87_1,2009,Hatchback
Nissan,Leaf,64_16,2014,Hatchback
Vauxhall,Agila,94_2,2011,Hatchback
Volkswagen,CC,95_12,2017,Saloon
Lexus,GS 300,48_2,2008,Saloon
Kia,Optima,43_6,2014,Saloon
Hyundai,ix35,36_16,2016,SUV
Jaguar,XK,39_9,2007,Coupe
Fiat,Punto,28_19,2016,Hatchback
Toyota,Hilux,92_19,2011,nan
Audi,Q2,7_18,2016,SUV
Jaguar,XF,39_7,2012,Saloon
Volkswagen,Touran,95_29,2009,MPV
Volvo,C30,96_1,2010,Coupe
Subaru,Forester,86_2,2007,SUV
Ford,Ka,29_23,2008,Hatchback
Vauxhall,Corsa,94_9,2016,Hatchback
BMW,5 Series Gran Turismo,8_10,2014,Hatchback
Porsche,911,71_4,2017,Coupe
Ford,Mondeo,29_27,2003,Hatchback
Hyundai,Santa Fe,36_20,2008,SUV
BMW,X6,8_41,2018,SUV
Citroen,C5,18_15,2006,Saloon
Vauxhall,Insignia,94_13,2011,Hatchback
Mitsubishi,Colt,62_3,2006,Hatchback
Mercedes-Benz,B Class,59_11,2011,Hatchback
Mercedes-Benz,CLA Class,59_16,2017,Coupe
Suzuki,Grand Vitara,87_4,2000,SUV
BMW,Z4M,8_46,2006,Coupe
BMW,7 Series,8_14,2012,Saloon
Bentley,Arnage,10_1,2000,Saloon
Lexus,LS 460,48_15,2006,Saloon
Ford,Fiesta,29_13,2016,Hatchback
Citroen,C1,18_6,2007,Hatchback
Ford,Tourneo Connect,29_34,2010,MPV
Lexus,LS 600h,48_15,2015,Saloon
Mazda,CX-5,57_7,2014,SUV
Ford,Ranger,29_30,2011,Pickup
Dacia,Sandero Stepway,22_4,2013,Hatchback
Volkswagen,Beetle,95_3,2016,Convertible
Infiniti,Q30,37_5,2016,Hatchback
Audi,A6 Saloon,7_11,2016,Estate
SKODA,Superb,80_9,2014,Hatchback
Vauxhall,Agila,94_2,2009,Hatchback
Ssangyong,Rexton,85_5,2008,SUV
Citroen,Berlingo,18_2,2010,MPV
Dacia,Sandero Stepway,22_4,2017,Hatchback
Suzuki,Splash,87_9,2014,Hatchback
Lexus,IS 300,48_8,2014,Saloon
Porsche,Cayenne,71_8,2013,SUV
Porsche,Panamera,71_11,2014,Hatchback
Fiat,Panda,28_18,2009,Hatchback
Maserati,3200,55_1,2000,Coupe
Fiat,Qubo,28_21,2013,MPV
Rover,75,78_3,2006,Saloon
Kia,Carens,43_1,2015,MPV
Nissan,Micra,64_17,2011,Hatchback
Audi,A8,7_16,2012,Saloon
Honda,CR-V,34_3,2008,SUV
Fiat,Doblo,28_12,2010,Estate
Lexus,NX 200t,48_18,2016,Estate
Audi,A8,7_16,2006,Saloon
Peugeot,208,69_12,2017,Hatchback
Audi,A3 Cabriolet,7_4,2012,Convertible
Kia,Picanto,43_7,2016,Hatchback
Ford,Transit Connect,29_36,2014,nan
BMW,X6,8_41,2011,SUV
BMW,X5,8_39,2000,SUV
Peugeot,307 CC,69_16,2003,Convertible
Peugeot,Partner Tepee,69_35,2014,MPV
Suzuki,SX4,87_11,2009,Hatchback
BMW,3 Series,8_5,2008,Coupe
Mercedes-Benz,B Class,59_11,2006,Hatchback
BMW,X6,8_41,2012,SUV
Audi,A5 Cabriolet,7_10,2009,Convertible
Renault,Clio,75_2,2012,Hatchback
Lexus,Rx Unspecified,48_24,2006,SUV
Maserati,Granturismo,55_8,2012,Coupe
Alfa Romeo,Spider,4_15,2008,Convertible
Toyota,Land Cruiser,92_21,2016,SUV
Mercedes-Benz,CLK,59_18,2008,Convertible
Vauxhall,Antara,94_4,2008,Estate
Honda,Civic,34_2,2000,Hatchback
Land Rover,Defender 110,47_2,2006,SUV
Ford,Grand C-Max,29_20,2017,MPV
Kia,Sportage,43_13,2007,SUV
Citroen,C3,18_8,2009,Hatchback
Citroen,C5,18_15,2011,Saloon
Vauxhall,Vivaro,94_24,2015,MPV
Chevrolet,Lacetti,16_11,2007,Estate
MINI,Clubman,54_1,2009,Estate
Peugeot,206 SW,69_8,2006,Estate
Nissan,Qashqai+2,64_34,2012,SUV
Lexus,RX 400h,48_24,2007,SUV
Bentley,Mulsanne,10_7,2016,Saloon
Ford,Kuga,29_25,2015,SUV
Vauxhall,Agila,94_2,2008,Hatchback
BMW,X3,8_37,2009,SUV
Porsche,911,71_4,2007,Coupe
Vauxhall,Meriva,94_14,2013,MPV
Mitsubishi,Eclipse Cross,62_7,2017,SUV
BMW,2 Series,8_2,2015,Coupe
Land Rover,Range Rover Evoque,47_14,2011,SUV
Ford,Galaxy,29_19,2006,MPV
Jaguar,XJ,39_8,2013,Saloon
Peugeot,207 SW,69_11,2012,Estate
Audi,A3,7_3,2015,Hatchback
SKODA,Citigo,80_1,2013,Hatchback
SEAT,Mii,79_11,2013,Hatchback
Vauxhall,Zafira,94_27,2007,MPV
Lexus,GS 450h,48_2,2012,Saloon
Renault,Clio,75_2,2014,Hatchback
Mercedes-Benz,M Class,59_27,2015,SUV
Vauxhall,Tigra,94_21,2009,Convertible
Nissan,Leaf,64_16,2011,Hatchback
BMW,3 Series Gran Turismo,8_6,2013,Hatchback
Mazda,CX-3,57_6,2015,SUV
Nissan,Pixo,64_28,2012,Hatchback
Audi,A1,7_1,2010,Hatchback
Hyundai,i30,36_10,2016,Hatchback
Honda,Integra,34_10,2000,Coupe
SEAT,Mii,79_11,2015,Hatchback
Audi,Q5,7_20,2016,SUV
Ssangyong,Rexton,85_5,2009,SUV
Mercedes-Benz,CLA Class,59_16,2015,Coupe
Vauxhall,Corsa,94_9,2008,Hatchback
Renault,Scenic,75_14,2008,MPV
Audi,A1,7_1,2014,Hatchback
Nissan,X-Trail,64_41,2013,SUV
Ssangyong,Tivoli XLV,85_8,2016,SUV
Toyota,Land Cruiser,92_21,2011,SUV
Volkswagen,Tiguan,95_26,2009,SUV
Fiat,Doblo,28_12,2015,Estate
Mazda,Mazda3,57_11,2006,Hatchback
Lexus,GS 450h,48_2,2009,Saloon
Chevrolet,Captiva,16_5,2013,SUV
Audi,A3 Cabriolet,7_4,2016,Convertible
Volkswagen,Transporter Shuttle,95_31,2012,nan
SKODA,Roomster,80_8,2012,MPV
SEAT,Alhambra,79_1,2008,MPV
Citroen,Berlingo Multispace,18_3,2003,MPV
Ford,Tourneo Connect,29_34,2009,MPV
Volkswagen,Scirocco,95_23,2015,Coupe
Mitsubishi,L200,62_13,2016,Pickup
Audi,A4 Allroad,7_6,2011,Estate
Renault,Megane,75_12,2006,Hatchback
Nissan,350 Z,64_1,2009,Convertible
Mercedes-Benz,R Class,59_28,2008,MPV
Ssangyong,Turismo,85_9,2014,MPV
Volvo,S80,96_5,2008,Saloon
Subaru,Tribeca,86_9,2007,SUV
Mazda,Mazda5,57_12,2012,MPV
Mercedes-Benz,GLE Class,59_25,2017,SUV
Lotus,Exige,51_7,2016,Coupe
Toyota,Corolla,92_11,2000,Hatchback
Audi,S5,7_39,2014,Coupe
Fiat,Talento,28_27,2016,nan
Audi,Q3,7_19,2011,SUV
Toyota,Corolla Verso,92_12,2003,MPV
Renault,Scenic,75_14,2012,MPV
Kia,Venga,43_16,2017,MPV
Citroen,C4 Picasso,18_14,2016,MPV
Lexus,IS 220d,48_8,2010,Saloon
Audi,S3,7_35,2009,Hatchback
Mercedes-Benz,SLK,59_32,2016,Convertible
Mitsubishi,Colt Cabriolet,62_4,2007,Convertible
BMW,5 Series,8_9,2007,Saloon
Toyota,Auris,92_3,2007,Hatchback
Bentley,Mulsanne,10_7,2012,Saloon
Ford,Fusion,29_18,2003,Hatchback
Peugeot,508,69_26,2012,Saloon
Mercedes-Benz,CLA Class,59_16,2013,Coupe
Volkswagen,Jetta,95_18,2017,Saloon
Volkswagen,Transporter,95_30,2015,Combi Van
Honda,FR-V,34_7,2006,MPV
Hyundai,Santa Fe,36_20,2011,SUV
SEAT,Altea,79_2,2015,MPV
BMW,Z4,8_45,2008,Convertible
Peugeot,107,69_3,2009,Hatchback
Mitsubishi,Shogun,62_18,2015,SUV
Jeep,Grand Cherokee,40_4,2007,SUV
Citroen,C8,18_17,2003,MPV
Hyundai,Tucson,36_24,2007,SUV
Dodge,Avenger,26_1,2008,Saloon
MINI,Coupe,54_5,2014,Coupe
Nissan,Navara,64_20,2017,Pickup
BMW,Z3M,8_44,2000,Convertible
Honda,Insight,34_9,2012,Hatchback
Maserati,Coupe,55_4,2003,Coupe
Suzuki,Baleno,87_2,2017,Hatchback
Mazda,CX-5,57_7,2013,SUV
Nissan,Qashqai+2,64_34,2009,SUV
BMW,3 Series,8_5,2006,Coupe
Suzuki,Jimny,87_6,2015,SUV
Volvo,S60,96_4,2003,Saloon
Audi,A5,7_9,2008,Coupe
Volkswagen,Touran,95_29,2017,MPV
Vauxhall,Mokka X,94_16,2017,SUV
Citroen,DS5,21_5,2013,Hatchback
Kia,Sedona,43_10,2008,MPV
Rover,75,78_3,2003,Saloon
SKODA,Fabia,80_2,2010,Hatchback
Ford,Kuga,29_25,2013,SUV
Mitsubishi,L200,62_13,2006,Pickup
Toyota,Voxy,92_42,2007,MPV
Ford,Fiesta,29_13,2012,Hatchback
Renault,Twingo,75_18,2015,Hatchback
Volkswagen,Transporter Shuttle,95_31,2008,nan
Subaru,Impreza,86_3,2014,Hatchback
Jaguar,X-Type,39_5,2006,Saloon
Nissan,NV200,64_22,2013,MPV
Vauxhall,Meriva,94_14,2007,MPV
Audi,Q7,7_21,2009,SUV
MINI,Paceman,54_7,2014,Hatchback
Subaru,BRZ,86_1,2017,Coupe
Rolls-Royce,Phantom,77_4,2006,Limousine
Mitsubishi,Shogun,62_18,2007,SUV
BMW,X6,8_41,2008,SUV
Jaguar,X-Type,39_5,2008,Saloon
Peugeot,5008,69_25,2015,MPV
Mitsubishi,Delica,62_6,2003,MPV
Renault,Megane,75_12,2015,Hatchback
Honda,HR-V,34_8,2015,SUV
Hyundai,i30,36_10,2014,Hatchback
Mitsubishi,L200,62_13,2003,Pickup
BMW,1 Series,8_1,2008,Hatchback
Toyota,RAV4,92_34,2012,SUV
Ford,Mondeo,29_27,2015,Hatchback
Nissan,Pixo,64_28,2010,Hatchback
BMW,M5,8_32,2016,Saloon
Chrysler,Ypsilon,17_10,2012,Hatchback
Volkswagen,Transporter Sportline,95_32,2011,Combi Van
Peugeot,5008,69_25,2016,MPV
Bentley,Continental,10_5,2017,Convertible
Vauxhall,Astra GTC,94_6,2015,Coupe
Volvo,S60,96_4,2011,Saloon
Mercedes-Benz,GLC Class,59_24,2016,Estate
Audi,TT,7_46,2011,Coupe
Porsche,Cayman,71_9,2011,Coupe
Citroen,DS5,21_5,2017,Hatchback
Ford,Grand C-Max,29_20,2012,MPV
Mercedes-Benz,CLS,59_19,2016,Coupe
Lexus,GS 450h,48_2,2007,Saloon
Kia,Rio,43_9,2009,Hatchback
Ssangyong,Korando,85_1,2014,SUV
Toyota,Prius,92_30,2007,Hatchback
Porsche,911,71_4,2016,Coupe
Maserati,Ghibli,55_5,2015,Saloon
Mitsubishi,Shogun,62_18,2013,SUV
Mazda,B2500,57_3,2006,Pickup
Nissan,Navara,64_20,2016,Pickup
Ford,Focus CC,29_16,2009,Convertible
Vauxhall,Zafira Tourer,94_28,2014,MPV
SEAT,Toledo,79_12,2014,Hatchback
Volkswagen,Golf Plus,95_16,2012,Hatchback
Fiat,Scudo,28_22,2007,nan
Land Rover,Range Rover,47_13,2014,SUV
Hyundai,Coupe,36_3,2000,Coupe
SEAT,Ateca,79_6,2017,SUV
Audi,A8,7_16,2007,Saloon
Renault,Modus,75_13,2006,Hatchback
Subaru,Impreza,86_3,2008,Hatchback
Renault,Modus,75_13,2010,Hatchback
Mercedes-Benz,E Class,59_20,2013,Saloon
Nissan,Micra C+C,64_18,2009,Convertible
Audi,A6 Avant,7_11,2016,Estate
Honda,CR-V,34_3,2007,SUV
McLaren,570GT,58_3,2017,Coupe
Volkswagen,up!,95_33,2015,Hatchback
Isuzu,D-Max,38_2,2015,Pickup
SEAT,Ibiza,79_9,2012,Hatchback
Nissan,Juke,64_14,2014,SUV
Ford,C-Max,29_2,2011,MPV
Renault,Zoe,75_22,2017,Hatchback
Volkswagen,Golf,95_15,2010,Hatchback
Bentley,Continental,10_5,2014,Convertible
Smart,fortwo,84_2,2012,Hatchback
Audi,A1,7_1,2013,Hatchback
Volkswagen,Caravelle,95_11,2017,MPV
BMW,2 Series,8_2,2018,Coupe
MG,MG3,53_2,2013,Hatchback
Toyota,Yaris,92_44,2006,Hatchback
Suzuki,Wagon R,87_14,2000,Hatchback
Lotus,Evora,51_6,2014,Coupe
Suzuki,Grand Vitara,87_4,2010,SUV
BMW,7 Series,8_14,2016,Saloon
Ford,Focus,29_14,2017,Hatchback
Mazda,Mazda3,57_11,2007,Hatchback
Volkswagen,Polo,95_22,2003,Hatchback
Mazda,Mazda2,57_10,2014,Hatchback
Renault,Laguna,75_11,2009,Hatchback
Jaguar,XKR,39_11,2000,Coupe
Infiniti,QX70,37_11,2015,SUV
Citroen,Berlingo Multispace,18_3,2016,MPV
Vauxhall,Meriva,94_14,2016,MPV
Porsche,Cayman,71_9,2009,Coupe
Audi,S8,7_43,2000,Saloon
Hyundai,ix35,36_16,2013,SUV
Jaguar,XKR,39_11,2012,Coupe
Vauxhall,Zafira Tourer,94_28,2012,MPV
SKODA,Superb,80_9,2013,Hatchback
Volkswagen,Golf SV,95_17,2015,Hatchback
Volvo,XC90,96_18,2012,SUV
Lexus,IS 300,48_8,2016,Saloon
BMW,7 Series,8_14,2003,Saloon
Vauxhall,Zafira,94_27,2003,MPV
Vauxhall,Meriva,94_14,2015,MPV
Volkswagen,Jetta,95_18,2008,Saloon
Volkswagen,Tiguan,95_26,2011,SUV
Honda,CR-V,34_3,2012,SUV
Volkswagen,Caddy Maxi Life,95_8,2012,MPV
Nissan,Micra,64_17,2008,Hatchback
Fiat,Seicento,28_24,2003,Hatchback
Nissan,Pulsar,64_32,2015,Hatchback
Mercedes-Benz,SL Class,59_30,2013,Convertible
Mitsubishi,Outlander,62_16,2015,SUV
Mazda,Mazda5,57_12,2007,MPV
Chevrolet,Kalos,16_10,2007,Hatchback
Audi,RS5,7_30,2012,Coupe
Renault,Twingo,75_18,2009,Hatchback
Chevrolet,Captiva,16_5,2010,SUV
Citroen,DS4,21_3,2017,Hatchback
Ford,Focus C-Max,29_15,2003,MPV
Mazda,CX-3,57_6,2017,SUV
MG,MG3,53_2,2014,Hatchback
MINI,Clubvan,54_2,2013,Panel Van
Tesla,Model S,90_1,2016,Saloon
Kia,Pro_Cee'd,43_8,2008,Hatchback
Peugeot,108,69_4,2015,Hatchback
Suzuki,Jimny,87_6,2017,SUV
Kia,Sorento,43_11,2016,SUV
BMW,Alpina D3,8_20,2009,Saloon
SKODA,Yeti,80_10,2014,SUV
Mercedes-Benz,E Class,59_20,2015,Saloon
Peugeot,207 CC,69_10,2012,Convertible
Jeep,Cherokee,40_1,2017,SUV
Volkswagen,Beetle,95_3,2017,Convertible
Volkswagen,Passat,95_20,2017,Estate
Audi,R8,7_23,2007,Coupe
Ford,Ka+,29_24,2016,Hatchback
Fiat,Doblo,28_12,2017,Estate
Ford,Kuga,29_25,2016,SUV
Chevrolet,Orlando,16_13,2011,MPV
Lotus,Evora,51_6,2010,Coupe
Audi,R8,7_23,2015,Coupe
Great Wall,Steed,32_1,2012,Pickup
Toyota,Prius+,92_31,2013,Estate
Renault,Clio,75_2,2011,Hatchback
Vauxhall,Ampera,94_3,2013,Hatchback
Kia,Sorento,43_11,2008,SUV
Honda,Insight,34_9,2013,Hatchback
Renault,Scenic,75_14,2011,MPV
Mercedes-Benz,SL Class,59_30,2010,Convertible
Ssangyong,Rodius,85_6,2009,MPV
Toyota,Avensis,92_4,2011,Estate
BMW,6 Series,8_11,2013,Convertible
Jaguar,XF,39_7,2016,Saloon
Lexus,LS 600h,48_15,2010,Saloon
Volkswagen,Beetle,95_3,2007,Convertible
BMW,X3,8_37,2013,SUV
McLaren,540C,58_2,2017,Coupe
Isuzu,D-Max,38_2,2016,Pickup
Citroen,C5,18_15,2012,Saloon
Volvo,XC90,96_18,2011,SUV
Hyundai,Ioniq,36_14,2016,Hatchback
Renault,Twingo,75_18,2013,Hatchback
Volkswagen,Caddy Maxi,95_7,2013,Panel Van
Fiat,500C,28_3,2016,Convertible
McLaren,12C,58_1,2013,Coupe
Fiat,Punto,28_19,2017,Hatchback
Audi,A4 Avant,7_7,2016,Estate
Chevrolet,Camaro,16_4,2017,Coupe
Kia,Sorento,43_11,2011,SUV
Audi,TTS,7_48,2008,Coupe
Vauxhall,Astra GTC,94_6,2012,Coupe
BMW,6 Series Gran Coupe,8_12,2016,Coupe
Subaru,Impreza,86_3,2006,Hatchback
BMW,X1,8_35,2015,SUV
